ID,Author,Title,Type,Category,Pages
1,George R. R. Martin,A Game of Thrones,Book,Fantasy,694
2,J.K. Rowling,Harry Potter and the Philosopher's Stone,Book,Fantasy,223
3,Ernest Hemingway,The Old Man and the Sea,Book,Tragedy,127
4,Jane Austen,Pride and Prejudice,Book,Romantic,432
5,Neal Stephenson,Snow Crash,Book,Technology,470
6,Linus Torvalds and David Diamond,Just for Fun,Book,Technology,288
7,The Linux Journal,The Linux Journal,Magazine,GNU/Linux,Varies
8,The Developer,The Developer,Magazine,Developing,Varies
9,Financial Times,Financial Times,Magazine,Finances,Varies
10,Kubernetes Docs,Kubernetes Documentation,Book,Technology,Varies
11,Haruki Murakami,Norwegian Wood,Book,Romantic,296
12,Arthur C. Clarke,2001: A Space Odyssey,Book,Science Fiction,297
13,Emily Brontë,Wuthering Heights,Book,Romantic,357
14,Ray Bradbury,Fahrenheit 451,Book,Dystopian,158
15,Isaac Asimov,Foundation,Book,Science Fiction,244
16,Agatha Christie,Murder on the Orient Express,Book,Mystery,322
17,Malcolm Gladwell,Outliers,Book,Non-Fiction,309
18,Homer,The Iliad,Book,Classics,683
19,Marie Kondo,The Life-Changing Magic of Tidying Up,Book,Self-Help,224
20,William Faulkner,The Sound and the Fury,Book,Modernist,326
